"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";"Большие размеры";;;"Х34/1 (1390751105)";"Х34/1 халат Алина";890;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/165/azgwtl700msdz6i054w94r5hs9a7swn3.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/kh34-1-khalat-alina/;1390751105;Х34/1;54/56/58/60
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м449 (01138701101)";"м449 Брюки палаццо (бежевый)";560;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: Лён";https://ivanushka-trikotazh.ru/upload/iblock/ffa/9a06bwp46y3enungqsd63kli80tmkfnk.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m449-bryuki-palatstso-bezhevyy/;01138701101;м449;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"м397 (0759996617)";"М397 Пижама Лагуна 2 (голубой новый)";740;RUB;"В наличии";"Ткань: Хлопок 50%, п/э 50%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/7a6/a31ngvtlqsxtekm5lqz06457smjndns7.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m397-pizhama-laguna-2-goluboy-novyy/;0759996617;м397;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м451 (1516679161)";"М451 Брюки женские(вискоза) леопард";890;RUB;"В наличии";"Ткань: Вискоза 95% , п/у 5%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/68b/2gj3iogqme0jc8vy8d2i764thyl5djht.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m451-bryuki-zhenskie-viskoza-leopard/;1516679161;м451;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м449 (1867279564)";"м449 Брюки палаццо (коричневый)";560;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: Лён";https://ivanushka-trikotazh.ru/upload/iblock/a8f/forbwi33gpf729oms3l5cg19tzgwjhme.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m449-bryuki-palatstso-korichnevyy/;1867279564;м449;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м449 (0412390499)";"м449 Брюки палаццо (синий)";560;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: Лён";https://ivanushka-trikotazh.ru/upload/iblock/8d1/wbzqs9pxbp7g7o304f26qrtd0jk1ic14.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m449-bryuki-palatstso-siniy/;0412390499;м449;46/48/50/52/54/56
"Домашняя одежда и текстиль";Платья;;;"м374 (01764318703)";"М374 Платье «Мишель» (серый)";740;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4a1/ouun77fsv68iez9hosetjcbbq6vbuo1z.JPG;;;;https://ivanushka-trikotazh.ru/catalog/platya/m374-plate-mishel-seryy/;01764318703;м374;48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Майки и футболки";;;"м452 (0718701590)";"м452 Футболка женская «Кэйси»";500;RUB;"В наличии";;https://ivanushka-trikotazh.ru/upload/iblock/d8c/z20hju5xeklnaidbhfl3frc80aebg8n7.JPG;;;;https://ivanushka-trikotazh.ru/catalog/mayki-futbolki/m452-futbolka-zhenskaya-keysi/;0718701590;м452;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м320 (01331838428)";"М320 костюм Дачник (цветы новые)";880;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/bca/1fbciul5tlbygf83rzaxwm08pymzf603.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m320-kostyum-dachnik-tsvety-novye/;01331838428;м320;48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м449 (0121953910)";"м449 Брюки палаццо (белый)";560;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: Лён";https://ivanushka-trikotazh.ru/upload/iblock/555/vq5q57bzbgx89rzs7oiq076pt3mev39d.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m449-bryuki-palatstso-belyy/;0121953910;м449;46/48/50/52/54/56
